Generation,Agent Count,Mutation Rate,Best fitness,Avg. Fitness,Max. step count,Finished count
401,100,0.02,0.10996040,0.10909950,600,0
402,100,0.02,26.00000000,23.19695000,600,91
403,100,0.02,7.92520800,0.50412050,600,4
404,100,0.02,0.04860815,0.04567299,600,0
405,100,0.02,0.01993642,0.01958137,600,0
406,100,0.02,7.92520800,6.67978100,600,84
407,100,0.02,0.01896156,0.01872782,600,0
408,100,0.02,0.06543151,0.06526259,600,0
409,100,0.02,0.02020607,0.01593409,600,0
410,100,0.02,0.10840380,0.09644536,600,0
411,100,0.02,0.11846050,0.10964130,600,0
412,100,0.02,0.04880272,0.04558121,600,0
413,100,0.02,0.10232890,0.02592075,600,0
414,100,0.02,0.11846050,0.10965010,600,0
415,100,0.02,0.04742554,0.04428950,600,0
416,100,0.02,0.09336872,0.02319749,600,0
417,100,0.02,6.40832900,0.38443290,600,1
418,100,0.02,0.10089490,0.06847966,600,0
419,100,0.02,5.93827200,4.81102800,600,87
420,100,0.02,2.10020900,0.09740411,600,0
421,100,0.02,0.07619983,0.07045709,600,0
422,100,0.02,0.02052937,0.02052036,600,0
423,100,0.02,0.09450129,0.08818860,600,0
424,100,0.02,0.01788183,0.01788185,600,0
425,100,0.02,0.00807731,0.00807571,600,0
426,100,0.02,0.02018593,0.01916171,600,0
427,100,0.02,0.07371237,0.01906763,600,0
428,100,0.02,0.10184270,0.06756508,600,0
429,100,0.02,2.82615000,2.55886000,600,83
430,100,0.02,0.06543151,0.06520993,600,0
431,100,0.02,0.01720167,0.01716861,600,0
432,100,0.02,0.03366094,0.03366090,600,0
433,100,0.02,0.02364841,0.02363536,600,0
434,100,0.02,0.07162366,0.07110959,600,0
435,100,0.02,2.60230700,0.58137350,600,8
436,100,0.02,0.02020921,0.01566451,600,0
437,100,0.02,0.10871160,0.10336120,600,0
438,100,0.02,0.02058927,0.01979113,600,0
439,100,0.02,0.02565137,0.02564701,600,0
440,100,0.02,0.01494499,0.01494500,600,0
441,100,0.02,2.77777800,2.20195000,600,80
442,100,0.02,0.01193749,0.01182001,600,0
443,100,0.02,0.01993642,0.01986044,600,0
444,100,0.02,0.70616360,0.69307130,600,0
445,100,0.02,0.20849470,0.20849470,600,0
446,100,0.02,0.02032890,0.02029252,600,0
447,100,0.02,0.20850260,0.20686860,600,0
448,100,0.02,0.02072135,0.02061572,600,0
449,100,0.02,1.79719400,1.72950400,600,100
450,100,0.02,0.01720167,0.01720002,600,0
451,100,0.02,0.07162366,0.07105667,600,0
452,100,0.02,0.02565137,0.02565137,600,0
453,100,0.02,0.02350581,0.02340304,600,0
454,100,0.02,1.48225300,1.41560000,600,99
455,100,0.02,1.70616500,0.09688282,600,2
456,100,0.02,4.18877600,3.13113800,600,88
457,100,0.02,0.00972387,0.00972386,600,0
458,100,0.02,0.01720167,0.01719966,600,0
459,100,0.02,0.05156617,0.04900423,600,0
460,100,0.02,1.61035200,0.35293420,600,19
461,100,0.02,0.03255997,0.03231831,600,0
462,100,0.02,0.05413151,0.04982288,600,0
463,100,0.02,1.67211500,1.14240800,600,80
464,100,0.02,2.71624400,0.16754670,600,3
465,100,0.02,0.09450129,0.08565195,600,0
466,100,0.02,2.77777800,1.85463200,600,26
467,100,0.02,4.55998600,1.09589600,600,12
468,100,0.02,0.02377702,0.02289822,600,0
469,100,0.02,0.09826934,0.09046695,600,0
470,100,0.02,1.94259600,1.81297600,600,96
471,100,0.02,0.70616070,0.63628450,600,0
472,100,0.02,0.01311659,0.01311565,600,0
473,100,0.02,0.00681349,0.00681015,600,0
474,100,0.02,0.09405072,0.09405074,600,0
475,100,0.02,0.05247547,0.05238391,600,0
476,100,0.02,0.03230274,0.03227875,600,0
477,100,0.02,26.00000000,25.74055000,600,99
478,100,0.02,0.01960239,0.01894466,600,0
479,100,0.02,0.02909767,0.02909391,600,0
480,100,0.02,0.09826906,0.09015860,600,0
481,100,0.02,0.01906012,0.01900215,600,0
482,100,0.02,0.09826932,0.08694628,600,0
483,100,0.02,0.07646114,0.07158332,600,0
484,100,0.02,3.29568400,3.12502000,600,99
485,100,0.02,6.94884000,6.02792000,600,95
486,100,0.02,0.02913157,0.02913159,600,0
487,100,0.02,0.01960239,0.01932052,600,0
488,100,0.02,2.60230700,2.34516600,600,91
489,100,0.02,2.60230700,2.37742500,600,92
490,100,0.02,2.20758400,2.04521300,600,94
491,100,0.02,0.09826932,0.02353547,600,0
492,100,0.02,0.02052937,0.02048066,600,0
493,100,0.02,14.71742000,12.27535000,600,90
494,100,0.02,0.01924996,0.01910220,600,0
495,100,0.02,0.10129080,0.09825666,600,0
496,100,0.02,0.09826940,0.09522497,600,0
497,100,0.02,0.02353773,0.02352932,600,0
498,100,0.02,0.02998769,0.02998765,600,0
499,100,0.02,0.10484200,0.09770737,600,0
500,100,0.02,3.44140600,1.76687400,600,81
501,100,0.02,0.01574672,0.01516388,600,0
502,100,0.02,0.01329050,0.01307707,600,0
503,100,0.02,0.02364792,0.02364421,600,0
504,100,0.02,1.96116900,1.40854300,600,74
505,100,0.02,2.26246700,1.77197500,600,84
506,100,0.02,1.60092500,0.05993297,600,1
507,100,0.02,0.12482760,0.01709962,600,0
508,100,0.02,0.00972643,0.00963631,600,0
509,100,0.02,3.22766800,1.79531400,600,96
510,100,0.02,4.42935500,4.14218600,600,96
511,100,0.02,2.18147400,0.14920180,600,4
512,100,0.02,1.98029600,1.66967200,600,88
513,100,0.02,1.53279300,1.33933200,600,89
514,100,0.02,0.01562025,0.01439333,600,0
515,100,0.02,0.12213350,0.09643193,600,0
